sel_index,task_id,row_idx,H0,P0,Ux,Uy,dpdx,dpdy,Hdot,Pdot
0,7454,7454,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204
1,3001,3001,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082
2,196,196,3.677857697806265e-05,9907.652795847273,0.034649110900762815,0.0,1721946.528199804,-961790.5233820884,-1.4488632960838474e-07,23603.403879517464
3,4669,4669,1.49719019411537e-06,417535.85724704375,0.04876973257557759,-1.3804490804963177e-20,-357792057.37106216,-209675649.36662406,-2.1856354100655487e-07,9978976.511791907
4,4810,4810,1.3937749191475371e-06,500419.04200208245,0.04887656202194275,-1.3804490804963177e-20,-419331609.2117332,-265390367.12044048,-1.9562952586489066e-07,10859095.225528138
5,9368,9368,4.922942521310691e-07,3080576.5724034877,0.049893654825527906,1.3804490804963177e-20,-4159434244.9538236,-2065027288.6298695,2.895169257211459e-09,20181034.35974904
6,9672,9672,4.4583373438002764e-07,7216244.995043285,0.04999633327707082,-1.725561350620397e-21,-5467370499.4561205,-914775721.4416072,1.560844904543268e-08,17876628.176800236
7,8287,8287,1.137424779865503e-06,-6.776846177165529,0.04999696204333709,1.3804490804963177e-20,-1435.2838507173944,-27.95974303166605,-5.189265500724596e-07,77.25461415577477
8,5433,5433,1.8262410782684164e-06,-6.78859555842355,0.04930404700114541,0.0,-1475.9238632298277,67.47706343624013,-5.137231760888911e-07,76.68841458386045
9,1423,1423,4.732415797210317e-06,313170.34575993917,0.046661693610600595,4.417437057588217e-19,5278385.634695229,-91365034.81616047,-4.172654340505899e-07,2326963.042338559
10,1231,1231,3.3093953586562705e-06,981015.153914749,0.04992449714317386,0.0,283217069.5772312,-61136299.214691535,-3.607404470683357e-07,4354881.833883149
11,8952,8952,8.228145352472167e-07,-5.141545545325309,0.049966446323465336,-1.1043592643970542e-19,-1659.0486518991218,-14.483388319228025,-4.735355211441703e-07,71.20012390298446
12,1327,1327,4.214613290820734e-06,574234.7996592184,0.0486924703155837,4.417437057588217e-19,106362165.4479893,-116787785.15240628,-4.0094098434849165e-07,2937571.764424348
13,7802,7802,1.1727586382126626e-06,-6.379063868558801,0.04986202604156701,0.0,-1533.6332128280596,3.4709624494798317,-5.106984510969459e-07,76.19361867587195
14,3795,3795,1.4785949270319374e-06,1549667.0941088793,0.049033018910166364,1.1043592643970542e-19,-105291489.74375132,-780268593.8337419,-1.6010888406115493e-07,11357116.645246338
15,9382,9382,5.46929051082391e-07,8020.282490219491,0.0498968450423157,-5.521796321985271e-20,-264430146.3104325,-43741760.37385256,-1.819498659013242e-07,13296012.724963782
16,9724,9724,4.434864736269701e-07,2199076.6034001033,0.04996332693274611,-1.3804490804963177e-20,-4817885104.724096,-1146806901.1552243,-1.0588608271267513e-08,22191322.528471854
17,8087,8087,6.39119443361621e-07,7633815.926344384,0.049881398004676815,-2.7608981609926354e-20,-21338585.28528341,-3040135543.250973,1.4272105742539516e-08,16605401.42307913
18,4939,4939,1.2407650953166965e-06,1558491.7102177055,0.04913622507752552,0.0,-380409619.73826534,-889449973.5981556,-1.1904423624773511e-07,13086527.524712132
19,3080,3080,1.5016514129489084e-05,-25.92885307152202,0.049983379645502535,0.0,-1043.076350888783,23.828534621632365,-3.8541039366105464e-07,57.231385083721165
20,1226,1226,3.075758003709479e-06,1104814.6989855662,0.05,1.4866716830074284e-22,335714083.5209175,-7811349.827842796,-3.4505527156422087e-07,4864664.851773158
21,2461,2461,8.050198587175713e-06,-13.763575182640876,0.04618574235488641,0.0,-1333.0708467790294,204.32013476184767,-4.630923910587916e-07,68.88762088038052
22,8585,8585,9.079675645065533e-07,-5.409482791987069,0.04992753597312598,5.521796321985271e-20,-1614.8029977446577,-24.865006883821604,-4.841335900751774e-07,72.63550880502675
23,4975,4975,1.6599742600941306e-06,-1.7878610648853668,0.048821900491965414,0.0,-653580.1731886731,214793.7873958623,-3.824225424579464e-07,3918929.3833911116
24,7436,7436,1.5040829698293669e-06,-8.120443668858266,0.04999946866193364,-6.902245402481589e-21,-1496.3209196471025,36.44795566722362,-5.321174389969225e-07,79.0241379707633
25,847,847,1.275635255775746e-05,51689.31162920379,0.03902937832542887,0.0,-2184464.174520489,-10250186.833838668,-3.986603994216023e-07,349695.41296580137
26,5051,5051,1.137218481881381e-06,4001810.0173225477,0.04976855435428196,-1.1043592643970542e-19,1071602295.5560011,-1245626667.3915286,-6.571060885046217e-08,14761456.910518482
27,2779,2779,2.5335082732738583e-06,355549.6032390278,0.04776669940686451,0.0,-123322670.44914772,-147461949.26469827,-3.301258346104845e-07,5551135.576398098
28,4479,4479,1.2542920453040751e-06,3107880.186542676,0.04958756967465047,0.0,624345987.1813674,-1187634855.4283547,-9.659700516964132e-08,13619850.214046938
29,5323,5323,9.549922457579824e-07,6011096.963810465,0.04999237030997081,1.3804490804963177e-20,2098377932.1077795,-391000207.7727892,-1.9657117868452905e-08,16341931.570246965
30,272,272,1.6440493654745952e-05,81333.51428090695,0.04776567833000201,0.0,11029289.120863635,-5161498.333331397,-3.621137277426173e-07,232579.616764182
31,2015,2015,8.158363075011178e-06,-6.1378627495546505,0.04339700903563916,0.0,8582.896679525398,-4292.57390819846,-4.5659521015427285e-07,115102.90161122652
32,1159,1159,3.909046676582544e-06,733646.5594501043,0.049577989452706854,0.0,182290516.86361405,-91320338.02548411,-3.8979926065659657e-07,3350577.7058790415
33,7428,7428,1.357235895621593e-06,-7.496508301009568,0.049964700777173555,0.0,-1442.9802936841625,-15.11569820205367,-5.274762328969713e-07,78.42539488485515
34,7452,7452,7.114801866612037e-07,8493818.179411214,0.04996073147408365,2.7608981609926354e-20,1788671808.9855952,-1653836078.7279778,1.3084021064848296e-08,16663602.290765457
35,4044,4044,1.3714446632625343e-06,3014656.427352757,0.04968020731568219,-1.1043592643970542e-19,807616460.969658,-927046255.5947278,-1.193883839682679e-07,12769388.930883724
36,9537,9537,4.638183853400004e-07,5620233.305483429,0.04995402011946615,0.0,-4953625230.997986,-2469740791.1673236,1.499208748030882e-08,18630130.01616018
37,4182,4182,1.2960544490416113e-06,3381308.771531244,0.04975383869183981,0.0,972532927.6986125,-958720796.109406,-1.0137013759019475e-07,13441365.404071668
38,8559,8559,6.959054975766983e-07,1959.3934356027517,0.04972808498263067,0.0,-103576350.38173245,-9342597.130477196,-2.0993574847321864e-07,11165191.449334597
39,6364,6364,8.735496393420814e-07,4767139.642950909,0.04970986207189464,0.0,439317450.2359457,-2178263584.6067915,-1.5477591480173475e-08,16495333.275494538
40,2599,2599,1.6063501801405576e-06,2838083.0847343807,0.049999161556591364,1.3804490804963177e-20,1054104643.6132876,-33800596.52718125,-1.627649805890377e-07,11182543.59201747
41,8179,8179,1.233701104570193e-06,-7.1708942897185945,0.05000000000000001,6.082270432780656e-23,-1556.575641068155,4.3140207608962395,-5.244328777439788e-07,77.99728052327261
42,8126,8126,7.652122253532078e-07,71198.30541704521,0.04962212104232772,0.0,-478261869.99367183,-55852484.45793748,-1.768044610507768e-07,13262806.887597408
43,4489,4489,1.2495195652043687e-06,2627875.2620672095,0.049413635117184766,2.2087185287941083e-19,236411022.96718642,-1213779398.6571164,-1.0144590591998405e-07,13465475.418911679
44,2699,2699,1.0221885054484114e-05,-19.123791170554814,0.04780114115408299,8.834874115176433e-19,-1225.467558791014,230.04708587574092,-4.384193556264553e-07,65.18700519504026
45,614,614,1.2669981147580396e-05,87896.23828646998,0.04294089468393632,-1.7669748230352867e-18,6602233.033994224,-13965750.058320997,-3.9851408832797025e-07,385773.91451443284
46,3262,3262,1.8098694311937287e-06,1031869.7436677911,0.048681964608822216,2.2087185287941083e-19,-115892543.18816793,-494405079.2284584,-2.237931566427333e-07,9074405.903409826
47,2539,2539,2.918738806822587e-06,314007.3786836521,0.047412471669847106,-3.3130777931911625e-19,-91591554.87699264,-121941450.64239615,-3.582074063638686e-07,4574558.080167194
48,3992,3992,3.7731295929700926e-06,-11.572004590247685,0.04907441043222262,-4.417437057588217e-19,-1388.0494818097081,128.72757618931024,-5.131082187792425e-07,76.26177267988858
49,344,344,1.360294753017252e-05,108459.36825740282,0.04764984644538566,8.834874115176433e-19,15156357.880359462,-8717640.800589522,-3.8963486068250387e-07,346003.8473105579
